channel_id,group_id
1,22
2,23
3,23
4,23
5,23
6,23
7,23
8,21
9,21
10,21
11,21
12,21
13,21
14,21
15,21
16,18
17,22
18,18
19,18
20,18
21,18
22,18
23,18
24,18
25,18
26,18
27,18
28,18
29,18
30,18
31,18
32,18
33,18
34,18
35,18
36,18
37,18
38,18
39,18
40,18
41,18
42,18
43,18
44,18
45,9
46,9
47,9
48,9
49,65
50,65
51,28
52,38
53,34
54,53
55,53
56,53
57,53
58,53
59,20
60,20
61,20
62,20
63,20
65,20
66,20
67,20
68,20
69,20
70,20
71,20
72,20
73,20
74,20
75,20
76,20
77,20
78,20
79,20
80,20
81,17
82,17
83,65
84,17
85,17
86,17
88,17
89,17
90,17
91,17
92,17
94,72
95,72
96,72
97,72
101,72
102,72
104,72
105,72
106,72
107,72
108,72
111,72
114,72
115,72
116,72
117,72
118,72
119,72
120,72
121,72
122,72
123,72
124,72
125,69
126,69
127,69
128,69
129,69
130,69
131,69
132,69
133,69
134,69
135,19
136,19
137,19
138,19
139,52
140,52
141,52
142,52
143,52
144,52
145,52
146,52
147,52
148,52
149,52
150,52
151,52
152,52
153,52
154,52
155,51
156,51
157,51
158,51
159,51
160,51
161,51
162,51
163,51
164,52
165,52
166,52
167,52
168,52
169,18
170,18
171,18
172,50
173,50
174,50
175,50
176,50
177,50
178,52
179,52
180,50
181,50
182,50
183,20
184,20
185,20
186,20
187,20
188,20
189,20
190,20
191,20
192,20
193,20
194,20
195,20
196,20
197,20
198,20
199,20
200,20
201,20
202,20
203,20
204,46
205,46
206,46
207,46
208,46
209,46
210,46
211,46
212,46
213,46
214,17
215,48
216,17
217,17
218,17
219,17
220,17
221,17
222,17
223,17
224,17
225,17
226,49
227,49
228,49
229,49
230,49
231,49
232,17
233,57
234,57
235,57
236,71
237,71
238,71
239,71
240,71
241,71
242,71
243,71
244,71
245,71
246,71
247,71
248,19
249,19
250,17
251,17
252,17
253,17
254,17
255,17
257,17
258,57
259,57
260,48
261,45
262,45
263,45
264,45
265,45
266,45
267,45
268,45
269,45
270,45
271,45
272,45
273,48
274,48
275,48
276,68
277,68
278,68
279,63
280,64
281,40
282,41
283,42
284,27
285,37
286,36
287,33
288,31
289,32
290,29
291,30
292,24
293,24
294,24
295,25
296,25
297,25
299,43
300,27
301,25
307,70
308,70
309,7
310,7
311,15
312,15
313,15
314,15
315,18
316,18
317,15
318,15
319,15
320,15
321,15
322,15
323,15
324,15
325,15
326,15
327,15
328,15
329,54
330,15
331,16
332,16
333,56
334,15
335,15
336,15
337,56
338,56
339,56
340,56
341,56
342,56
343,56
344,56
345,16
346,16
347,16
348,15
349,15
350,54
351,54
352,54
353,54
354,54
355,54
356,16
357,16
358,16
359,16
360,16
361,16
362,16
363,16
364,16
365,67
366,47
367,47
368,47
369,47
370,47
371,47
372,47
373,47
374,47
375,10
376,10
377,10
378,10
379,66
380,66
381,66
382,11
383,11
384,11
385,11
386,11
387,11
388,55
389,55
390,55
391,10
392,10
393,10
394,10
395,10
396,10
397,10
398,10
399,10
400,10
401,10
402,10
403,10
404,10
405,10
406,10
407,10
408,10
409,10
410,13
411,13
412,13
413,13
414,13
415,13
416,13
417,13
418,13
419,12
420,12
421,12
422,15
423,14
424,14
426,14
427,14
428,14
429,14
430,8
431,8
432,8
433,8
434,8
435,39
436,35
437,61
438,1
439,1
440,1
441,1
442,61
443,1
444,2
445,2
447,2
448,2
449,4
450,2
451,62
452,1
453,2
454,62
455,3
456,3
457,3
458,3
459,3
460,3
461,59
462,59
463,59
464,60
465,60
466,60
467,3
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,3
485,59
486,3
487,3
488,59
489,59
490,59
491,59
492,10
493,10
494,8
495,8
497,3
498,3
499,4
500,3
501,3
502,3
503,3
505,3
506,3
507,3
508,3
509,4
511,4
512,4
513,4
515,4
516,4
517,4
522,4
523,4
527,4
528,59
529,4
530,4
531,4
532,4
537,3
539,60
542,60
543,60
544,3
549,54
550,54
552,15
553,15
555,54
556,54
557,54
558,54
559,54
560,18
561,18
570,61
571,2
572,2
573,2
574,61
575,61
576,61
700,58
701,58
702,58
703,58
710,10
711,10
712,10
713,10
714,10
